content,polarity_score,sentiment_label
qr code scan featur didnt work intend app keep tell turn locat servic even alreadi activ first place date birth dialogu also didnt updat text field gonna empti matter date tri pick workaround write date birth manual app messag text field follow date format app copycut past date birth text field,0.0258,pos
batteri drain requir app access locat time real keep switch featur phone doesnt die chang set use app check place quit annoy,0.0634,pos
unfortun app good develop want much real use user least app also abl show zone condit person ie travel plan also app work strictli phone number cant chang number app worst help other regist get vacin use phone certif might show manual way make correct hit miss,0.2023,pos
android phone first time use app work fine second time onward notif allow locat ive alreadi turn cannot skip bypass mom also use android phone also problem pleas fix thank,0.3612,pos
app work ok howev support avail case data chang phone chang name caus verif problem tri contact phone email ig respons requir use app access public area servic pleas answer caus need help rectifi solv problem thank,0.5719,pos
dont know go server app cant login even receiv otp code via email phone number connect good either also cant click check enter supermarket wish problem fix develop asap,0.4939,pos
previou review true got annoy time locat permiss late delay load view inform constant notif statu bar heck also sm verif never work app suck,0.0015,pos
dont want app kill batteri track everi move app work fine locat permiss use app one star app work less permiss actual good app idea behind could inde prove useful consum much batteri access locat ,0.8706,pos
well sinc need use commut line reinstal app use hope checkout featur could impos checkin would appreci possibl use locat use app bcaus app cant work normal chose option must use locat time good batteri thank,0.8555,pos
seem system readi accept chang applic everi time input data updat respons alway long end error good anticip receiv latest data reliabl,0.4215,pos
app allow nation regist passport somehow countrycod put front digit enter last three fall existingvaccin record recogn consequ pleas fix bug thank,0.5267,pos
cannot chang birthday data keep blank select certain date okay birthday problem solv manual copi past text text app whatsapp anoth problem solv yet take pictur profil pic save voila dissapear,0.2023,pos
app requir user allow access user locat time otherwis user cant use app govt mandat use app want access mani public place mall public transport station even workplac major breach user privaci think use taxpay money fund rubbish app slap face us taxpay suggest give user choic allow locat access need,0.5719,pos
cant checkin anywher even though test internet connect result stabl thank cant go place order scan caringprotect ye almost everywher,0.3612,pos
messi ui messi import info vaccin certif went way behind mani option main page peopl usual ask show vaccin certif peopl login took longer suppos im even sure what purpos app besid show certif track peopl movement even privat data,0.3182,pos
help app pleas consid chang locat permiss allow time allow use app batteri drain suppos app doesnt need track movement hour day,0.6705,pos
vaccin ecert work applic drain batteri access locat time scan qr locat creat ridicul queue destin lock drainerbattapp gp locat app beta version forc handl product million ppl server locat anyway cloud indonesia sg prefer use websit model app like,0.3612,pos
work well indonesian develop app indonesian intern visitor nightmar hope fix caus lot unnecessari anxious peopl indonesian need travel use app ehac avail download form least websit,0.4588,pos
unnecessarili statist dont updat moreov kind permiss dont get choos permit ehem realli need locat total limit privaci choic dont trust data safeti also drain batteri dont tell turn life save mode phone develop govern one need accept fact dont want share locat time anw hope public place requir app enter,0.276,pos
tri mani time input number perfectli base indonesian ident card yet still deosnt work hope could fix problem order edit login person account user thank,0.4588,pos
sometim work well sometim cant login user found happen mani time even alreadi user log say app stabl yet perhap server load high also user interfac design well nik ask sever part user alreadi input nik profil app nation wide user coverag handl proper team profession abil,0.4939,pos
slow process quick app open app sever time also insert nik everi time want open vaccin certif practicalfriendli use other great,0.6597,pos
login process app complic otp code login usual come late that could use email login reinstal app mani time time manag login use verifi phone number time couldnt download vaccin certif sinc websit unhelp app custom servic app unhelp sinc email mani time didnt respond,0.0772,pos
phone temperatur alway hot instal applic almost everi hour power consumpt peduli protect use much power notif appear recent head news data breach didnt find posit side applic,0.3818,pos
collect mani data necessari covid track background locat track cant use app chose allow locat access use app must chose allow time use app,0.4215,pos
vaccin certif hadnt updat app aug  till app dont function well even contact email address develop erron inde desper user experi thing like,0.1744,pos
gp permiss drain batteri app wont open main screen choos allow locat permiss use app fix bcz everi user want allow locat permiss time set menu,0.4767,pos
app tell need complet profil use qr code scanner visit place want complet profil tell full name doesnt nik im alreadi submit state ktp app tell wrong also contact center someth help us decid leav place cannot go anywher requir scan qr thing thank economi,0.34,pos
updat new one vacat certif dont appear alway input nik still data didnt show come import applic like,0.3612,pos
open app ask phone number insid still need regist phone number put exactli phone number ive put previous app reject what funnier gave notif yet im unabl read whole sentenc like app everi right system hella confus,0.5267,pos
u want review review nearli word ineffect ineffici app far base mobil dataavail connect constant need tract user locat size app u reduc make simpl easier use sinc mani useless thing u ad make interfac look good u delet review nice know suggest u take review offens better make app earli access mode one leav review,0.836,pos
cannot even use activ locat notif activ locat still keep pop tri sever time wrote locat detect artifici locat close app tri minut still goe matter mani time tri,0.0258,pos
state regist success creat ehac state need login tri log state user found wth tri reregist app wouldnt connect frustrat,0.0772,pos
terrtibl app english foreign suppos use enter mallstourist venu etc data upload think govern idea good app poorli done zero usag drain batteri data ,0.4404,pos
realli wish gov find proper dev build app app behavior quit errat allow locat access still keep ask permiss allow also doesnt seem support permiss use app older phone app terribl keep crash tab couldnt open app android phone isnt easi back gov reliabl,0.1386,pos
one hardest app log even though person data correct pleas fix bug ad featur thank,0.3612,pos
consum much batteri life log need accept confirm polici log mani unneed verif fingerprint face recognit featur log app seriou need better upgrad,0.6705,pos
what locat permiss app keep tell allow locat permiss time allow locat track use app app alway run background reason thing,0.4215,pos
must use app go public transport public build area app even wors use cant edit profil notifi locat spam everytim drain batteri make someth import thing mani peopl indonesia pleas make sure work better applic releas use mani public area,0.4019,pos
help much make life even harder govern lolici use app enter certain area peopl still cant vaccin circust app track locat help get vaccin terribl privaci data manag also privaci safe use app,0.8555,pos
function seem improv significantli drain batteri activ notif use gp know whatev els accept thing consid let get togeth,0.3818,pos
good access camera scan qr doesnt show good camera problem cant scan qr everi time want enter build display open scan qr camera black still work fine default camera sorri fix thank stay safe stay healthi,0.8625,pos
hope bali reopen intern tourist trial basi soon read everi foreign arriv bali need peduli protect app languag avail understand pleas offer english version app accept eu wide corona warnapp show vaccin certif thank,0.8625,pos
realli frustrat app realli hard even regist complic pleas help fix launch want support govern fight covid pleas creat reliabl app thank,0.6369,pos
sometim app work properli sometim tri uninstal instal alway got difficulti phone number pleas tri fix hope one tokopedia shope work properli better app,0.7269,pos
dear develop team concern locat permiss app requir alway turn locat make batteri drain far know would much better improv system effici smartphon batteri life tk,0.6705,pos
app import give full support howev still need keep improv sever time experienc difficulti login check check one place,0.4019,pos
im sorri applic realli took lot batteri life realli inconveni need activ locat everytim need certain time thank much hope make better anytim soon,0.8555,pos
foreign kitaswork permit work use passport id app ask nik option passport number alphabet number mix complet app alreadi vaccin certif bali thank,0.4767,pos
gp want alway access phone know track stuff pleas let turn gp im use app privaci matter instal app everytim go public place need bs app,0.1027,pos
second vaccin month ago still cant get certif vaccin info empti contact offici caringlindungiid email also got ignor im realli hopeless dont know get certif hand govern keep expand usag caringprotect even stay hotel least pleas help get problem pleas dont neglect user,0.6098,pos
verif number sent phone even tri youd think app ministri inform suppos compet ala perfect reflect ministri develop,0.6124,pos
app like actual privaci violat cant use app allow locat access use app app persist requir locat access set time use app close app mean dont want track,0.1561,pos
useless app check certif stuck progress next page unabl access app pleas test app releas public even check certif onlin requir unend captcha help make thing difficut,0.1779,pos
recent updat per messag written better though still lack inform user user want know progress vaccin registr app doesnt provid samsung galaxi note ,0.5719,pos
still use old cellphon andor ran internet data quota wifi connect hesh sinc print paper card vaccin certif suggest everi busi center place requir vaccin certif provid scanner read qr code found certif thank,0.3612,pos
regist mani time done instal uninstal sever time appropri use still didnt function well youd better improv soon covid pandem still work,0.27,pos
havent abl use yet cant chang account foreign doesnt take nik somewher get help set know cant go anywher without app import work everyon feel like work progress,0.7906,pos
instal app morn need check one mall work fine complaint locat permiss turn time drain batteri id given star ad anoth one back support encourag govern app develop improv app better posit want rate app object test dont get sway onestar comment,0.6705,pos
took nd vaccin day certif appear till open via websit certif app show havent taken shot yet hope fix soon,0.4404,pos
told foreign regist app go app regist cant seem chang foreign set lot bug app let make clear foreign allow regist app ye,0.5423,pos
creat account app alreadi put nik mobil email address save account profil got st jab vaxx certif didnt appear app call cs offic told vaxx organ didnt put mobil system thought data profil auto link cs offic updat mobil manual system got vaxx certif good thank,0.8225,pos
govern tri spi activ wrap disguis useful app forc us use forc use gp time access document media ure phone suppos doesnt need,0.4404,pos
slow laggi batteri hog piec softwar fund countri god sake yet feel cheap amateurish unoptim poorli code shouldv star least ui alright honestli make open sourc ff,0.7096,pos
frustrat experi use app couldnt get onto account keep sign phone nik number along secret password,0.0772,pos
app isnt support news broadcast foreign complet vaccin oversea vaccin also includ app part requir enter countri time hope solv soon,0.1635,pos
open want scan qr check load long also regist friend account often get error sometim keep ask date birth also sometim short time ask updat want scan qr,0.2732,pos
realli wish add parent profil account vaccin dont smartphon hardli groceri fav place dont app,0.6908,pos
ui fairli nice ux oh god ux say app frustrat clearli understat hope fix near futur,0.7783,pos
sinc instal kept make phone hang restart remov reinstal work even bandung barat polic head offic rd time reinstal hope ok tq team develop,0.6249,pos
