userName,score,at,content
Rifqi Hatta,4,2021-09-18 19:04:43,"Worked as intended, however the notification about turning on locations is unnecessary when the app isn't even being used or when you're not checked in on a public space that requires you to scan. Also, one problem I find annoying is you can't pair your phone number with your e-mail account if you had accidentally registered an account for each of them. E-mail and phone number both became separate accounts. I hope there will be a fix for this. I trust the devs would improve the app overtime"
Stanislaus Setyanto,4,2021-09-15 06:03:24,"At last, the newest apps for tracing covid-19 in Indonesia, now it is possible to trace the pandemic within country or at least in the city. Unfortunately, the record on public places visitors does not accurate. For example it's showing 1400 visitors at the time but i look inside and it's just around 100 including staffs. So, the management of apps must applied auto check-out on user end."
Bambang Tandjung,1,2021-09-17 06:27:12,"Useless, very unreliable. There are lots of bugs unresolved. I input the correct info on my ID card but it does not want to continue to the next step. I input data for my e-hac, the data was not the same on the confirmation page no matter how many time repeated. Frustrating!"
Player 6,1,2021-09-15 17:06:04,"Insists that my phone is rooted when its not. Cant use it at all. Edit: after a few months they release a new update. I still get similar but different error message ""invalid signature"" when login/signup with either email or phone number. Still cant use this at all when at the same time it is mandatory to access some areas in indonesia. Truly frustrating."
Shine A,1,2021-09-30 04:23:15,"Not user-friendly, moreover to elders and please fix that because this app is mandatory. It's really hard to put the date of birth because the issue is when we already chose the right year, month, and date and click it, the date is not appeared. It happened for several items, and because we cannot fix it manually I need to found another way of copy paste the date to the column. Also OTP that sometimes didn't send directly and already expired once we recieved it."
Valeria Octaviani,2,2021-10-05 17:43:40,"it's so inconvenience that it demands the users to let the app Always use the location or it wont let us use it, while it drained a lot of batery life yet it's not really necessary to run the app on background. n it's pretty SUCKS that sometimes the location of the app is error n i have to reopen the app or turn off then turn on again my location etc jst to get the location of the app works n it took A LOT OF time. hope u can fix it. thanks"
Yazid Zaidan Mujadid,1,2021-10-07 02:52:28,"The QR Code Scan feature didn't work as intended. The app keep telling to turn on the location service even if it's already active at the first place. The date of birth dialogue also didn't update it's text field, so it's gonna be empty no matter what date I try to pick. As for a workaround, I had to write my date of birth manually in other app (such as messaging) that has a text field by following the date format in this app, copy/cut that, and paste it into the date of birth text field."
James Carlyle-Clarke,1,2021-10-07 09:34:55,"Gives error about 'lokasi buatan' and won't run, but my phone is not rooted, I've turned off Developer Options, and I'm not running any apps that might do this. If there's a problem then give us more info (what has been detected) or tell us how to fix it. Advice from 119 was to use a different phone! Update - I tried to send the screenshot to that email address as asked and got an error, mail not sent because the mail box is 'Over quota'. You guys need to empty your email inbox... (actually, I tried send that exact thing two days before you asked and had the same error...)"
shifa eldita,1,2021-09-25 02:53:32,"The application often bugs, when I'm filling in the date of birth, the application won't enter the date. And I don't think it's effective because the date can't be entered manually by typing and also can not be filled automatically. The app often bugs in other parts and that's annoying. Suggestions for developers to fix the application immediately because this is one of the community facilities that are needed and used now -_-"
Bonar Tanudjaja,2,2021-09-15 15:20:32,The battery drain because it requires the app to access location all the time is real. I have to keep switching off this feature so my phone doesn't die and then having to change the setting again before using the app to check in to places. Quite annoying.
Z,1,2021-09-29 14:41:15,"My previous rate was deleted by the developer. Google please remove this horrible app from playstore. Our government can't make proper app for covid contact tracing. Oftenly crash. The app suck our battery. Too many trash features. You don't have to add many features. It suppose to be only for vaccine, and contact tracing. Minimize the app. And this app doesn't have any network security. Means all of your data exposed."
Yoel Tanujaya,1,2021-09-26 12:12:26,"Now that this app usage is mandatory for daily activities, please remove constant location tracking permission. It's frustrating that i need to disable location permission after check-in or check-out in public places, or my devices battery could drain rapidly. I know you can't fix the millions of data breach a while ago, but at least you can change the location permission."
Bing Surjawan,1,2021-09-21 13:34:31,"Unfortunately this app is just as good as how the developer wants it and not much real use for the user. At least this app should also be able to show zonation condition other than where the person is, i.e. for travel planning. Also this app works strictly by phone number and cant change number through the app, worst for those who have helped others registered for getting vacination using their phone, their own certificate might not show up. The manual way to make correction is hit and miss."
Erow Yusmarianto,1,2021-09-30 03:52:33,"still the same as in the previous version, you could say there are no changes in this latest version. on my use with android version 9 it always fails in the registration window in the verification session which should be received via SMS, but which is received via email. And the verification number received via email, trying to input it always fails, it's been tried more than 3x. September 30, 2021 time 10:53"
Langit Samodra,1,2021-10-08 10:42:15,"On android phone, first time using this app works fine, but the second time onwards the notification to allow location (which I've already turned on) cannot be skipped or bypassed. My mom, who also uses an android phone, is also having the same problems. Please fix, thank you."
Glenn Owen,2,2021-09-18 11:48:36,"The problem lies not with the apps, there's indeed some improvement to make, such ease to check what risk on a particular area instead of around you. However, the true problem lies in how the government indirectly force you to download the app, unless you can live without buying groceries."
Liana wati,3,2021-09-24 00:35:14,"Need to improve the app. I cant place identity number even i tried it all the time. The setting of date, month and year of birth...better using dropdown..your setting right now really takes time to find the year. I cant imagine when old people who born in 1940 should press that arrow almost 1000x"
Eri Tjandra,2,2021-10-04 01:33:15,"The app is working ok. However there is no support available. In some cases the data changes (the phone no changes, the name is not the same) caused the verification problem. Tried to contact through phone, email and ig but no response. And we are required to use this app to have access to public area and services. Please do answer cause we need help to rectify and solve the problem. Thank you."
Raidou Laksmana,1,2021-10-04 06:44:26,"I already input my name and ID number correctly and yet, the app still saying to put the correct ID and Name, what the hell is wrong with your app?! If you can't make a good app, at least don't released it until it's work properly! Now i can't even go inside a mall because i can't use the scanner! also it's full of bugs and doesn't work properly when needed! FIX THE DAMN APP!!"
Daniel Christian,1,2021-09-17 15:46:09,"After input data regarding viewing vaccine certificate, application goes back to the way it was. Unable to view vaccine certififate from the app. Also when the app is connected to wifi, it will just keep on loading. However, it does not happen when it is connected to mobile data."
theo wantah,1,2021-10-12 13:48:35,The app is running fine untill somehow the app forced close it self and made me scan in again at the place i worked. And after that day i can not log out of the place and can not log in again the day after and it has been for a week since. Funny when i can not log in to the place i work everyday. So for now 1 star it is. Because the error is too fatal.
Cedric Vincent,1,2021-09-29 07:00:32,My 2nd vaccination was 3 months ago and yet there's no certificate for my vaccination. I've tried to call 119 and also tried some of their recommendation but its still not appear in this apps. I'm truly disappointed for this issue. I mean what's the purpose of this apps if the certificate isnt appear on this apps. Please fix the bug or at least work as a team between hospital and this apps to fix this issue bcuz its annoying
Sharlene Caser,3,2021-10-03 14:15:29,"The app failed to read the QR code, so i restarted my phone but the problem remained. I also tried uninstalling and reinstalling but to no avail. When logging in, it just wouldn't show the main page of the app, but always brings me back to the login page. Frustrating experience. Pls fix this problem."
M. Shidqi Naufal,1,2021-09-24 02:10:33,"I don't know what is going on with the server in this app. But, I can't login even I received OTP Code via email and phone number. My connection is good either. Also, I can't click ""check in"" to enter the supermarket. I wish this problem will be fixed by developer ASAP."
ratyan n. Hartiko,2,2021-10-09 11:25:33,"This apps is power hunger and battery drain apps, it force you to use apps in aplication in background, and activate gps to track whereever you are. It literally force to know where you are, and with last data leak from the very similiar apps, i literally can't trust to give much permission to this apps. While it's good for vaccines passport, if the t&c still waiving the responsibility of data leak, well, i think you need to make either apps only have access when you use this apps not always"
Cakra Widnyana,1,2021-09-15 09:27:04,"I Can't Complete my profil. Many time to repeat connect and complete The Name and Register Number, but doesn't work, the app said : match your data, and then i think must send email to PeduliLindungi, but still doesn't got the reason and solution for the problem. Good think for program but Bad execution, lets clean up."
ARHL AI,1,2021-09-27 06:00:44,"DON'T DOWNLOAD THIS APP it's super shady. Just use their website on chrome and use incognito mode to download your vaccine certificate. This apps is collecting location, user content (which unnecessary), search history (for what exactly?), identifiers, and also browsing history (wth they want to do with our browsing history data that contains our ibank, email, and our private/personal data) i even have the screenshot prove of the app trying to access. PeduliLindungi, your app is SUPER SUS"
Radian Wiryandi,1,2021-09-27 06:04:56,"All previous reviews are true. And It's got a very annoying all time location permission, late and delayed loading for viewing information, constant notification on that status bar, what the heck? Also sms verification never works. This app sucks!!!!!!!!!!!!!!!"
Narendra Duta,1,2021-09-25 02:58:12,"1. High impact to the phone : draining battery, more heat, and phone running very slow, because all time GPS running in the background system consume more power and signal. 2. some of indonesian Airport (eg. Balikpapan and Gororontalo) only use the old e-hac app. (separately app) for check-in post, make confuse.."
Maurits Alexander,1,2021-10-12 14:14:43,"Poor apps, asking unnecessary access to photos, vids, location, messaging etc. Unreliable, crashed a lot. Battery consuming. Admin failed to respond towards complaints. My vaccine certificate still not showing, unable to comple profile (Birthday date field unable to fill) failed to send sms verification multiple times. Is zero star possible?"
ardelia 8118,2,2021-10-01 06:51:36,"It bugs quite often, there was that one time where the application suddenly went off and when I re-opened it, my account has been logged out. I was going to enter a place that needed to scan too, it was bad."
Edward Oktavianus,1,2021-09-14 07:08:30,"This app is trash. It doesn't remember that I already authorized all permission from location, camera, etc. It keeps aksing for permission everytime I want to scan QR Code in public places and have to open my email or SMS for OTP. It is very stressful and took a lot of time. If you want to make this app mandatory, make it easier to use and more professional. Instead you annoy people by having to use this app because you are incompetent to create one."
Hilmi Naufal,1,2021-10-05 17:07:10,"I cant register for vaccination because each time I submit the otp it always give internal server error. The otp also never received in my phone message, but in email, even though in the app it says the otp is sent via phone number. Please fix this user experience cause its really terrible. You can drop some unnecessary functional in this app and focus more on the most used one, cause lot of people complaint about it and you seems dont know which you should be focusing on for fixing this app"
Robert Fox,1,2021-10-12 12:07:22,I am trying to use this on a Samsung Note 20. Every time I click Mulai the privacy statement comes up. When I touch the screen it goes back to the start screen. One complete circle without being able to start the program. Not to mention the problems of confirming my vaccine from the USA.
Diah Ira Setyawati,1,2021-09-16 10:03:03,"This apps just wasted my time by asking to type in the data, but it seems the apps not connected. It's sometimes hard to type in as the keyboard dominate the screen. It seems that this apps is not ready to use. Very dissaponting"
Manuel Fernández,1,2021-09-16 09:42:54,"I don't want my apps killing my battery and tracking my every move, the app can work just fine with ""location permissions while I am using the app"", so one star until the app works with less permissions. It is actually a good app and the idea behind it could indeed prove usefull but it consumes too much of my battery as it access my location 24/7."
Sylvi Tania,1,2021-09-20 00:53:10,"The apps very slow to respond. When we log in the apps, click X button to close the checkin page, click checkout, and after restart the phone very slow respond. Please fix it, because this apps is mandatory to use, everything must be fast and ready, dont be the obstacle."
Isnani Tiya Nuswantari,2,2021-09-19 13:59:58,"This app is not update. I've got my second vaccine but it doesn't tell so. I sent few emails but CS never replies, almost 1 month. Calling Call Center doesn't help neither, only connect to machine! And my covid status is -sometimes- green and suddenly changes to Yellow. That's not helping to travel at all!!"
eka supariyanti,4,2021-09-15 06:32:49,"Well, since i need to use commuter line, i re-install the app and i can use it. I just hope the check-out feature could be imposed as check-in. And would appreciate if it's possible to only use the location while using the app, bcause the app can't work normal if i chose that option. We must use the location all the time and it's not good for the battery. Thank you"
Yoseph Balluyo,1,2021-09-23 11:44:02,app is so intrusive that it ALWAYS wants to access GPS location > will drain battery aswell while running in background. currently you can't use it if you choose 'only allow access gps when app is opened' in app permission. also it will annoy you with notification if you turn your GPS off. so much for indonesian app.
Philip Harsana,2,2021-10-07 01:22:32,"The verification process depends on the registration staff at clinic/hospital when you got vaxed. I've got vaxed, registered, and got certificate in app. But suddenly another name and ID appeared in my app because maybe that other person wrote my number as his/her or the staff input wrong number in registration. Either way, you can't do anything about that kind of mistake through this app. The hotline can only said just wait until that other person realizes the problem and make correction."
Pao Pao,4,2021-09-15 03:43:32,"I dont know why people complain about this app, this app saves lives and it is not complicated at all. A little bit of hassle, but everything is straightforward and easy to complete. The only annoying bit is login through email, as the keyboard somehow blocked the fill-in-box. The rest, is easy. You just have to think abit more to complete and use this app."
Andy Arnoys,1,2021-09-22 03:29:58,One of the worst apps I ever experienced. Crashes all the time. Goes haywire with location settings. When relogging just removes prior actions. Get this sorted out! This app is too crucial to deliver poor UI/UX!
wike wm,1,2021-10-02 12:35:57,"Fail in registering even when trying again and again. After uninstall and re install for the 3rd time, it was successfull but keep asking the location even after the location was on. Very very annoying, please improve the application before make it mandatory to access to public area"
Avalanche Music Organizer,1,2021-09-16 09:23:48,"Poor apps. 1. Drain batteries. 2. Very ineffective system in inputting date of birth (if you were born in 1975, you have to scroll back 540 times from year 2021 until it shows 1975). And now I've been clicking it for more than 2000 times, and still keep fail to input the date because of some unknown error. 3. Keep logging out incidentally 4. Today it can't be opened at all in my cellphone"
Hendra Gunawan,1,2021-09-15 12:37:26,"it seems the system is not ready to accept changes from the applicant, every time the input data is updated, the response is always long and ends with an error. not good at anticipating receiving the latest data. Not reliable"
Sunil Ganwani,1,2021-10-08 13:41:12,"Useless ,after installing its not working at all. You can just only install but cnt do anything with it. 👎 And after changing my device its only working for Warganagara indonesia,,there is option for orang asing but u can not click. And its been so many months nothing has been done to improve it. And i dnt no who design it, but when u go to the feature of your date and year of birth ,u have to do it manually from 2021 to your birth year,so irritating."
Felix,1,2021-09-17 03:20:54,"I cant verify my account because the app did not send any email containing the code, i have tried to refresh gmail and the app many times but there is still no email containing the 6 digit verification code Now that i have fixed this problem and actually logged in, the app gives me another bug where the certificate does show up, but i cant open it"
Ixaac Immanuel,1,2021-10-09 05:53:52,The app is bad since it is inconsistent and difficult to change your status. I was quarantined and had my pcr tests done with negative result and also uploaded my vaccine papers and yet still reflected as red for my status. Contacted both Peduli Lindungi hotline and Menkes. Menkes didnt even have a single operator. Until.now i cant change my status and unable to go to most public spaces since they depend on this app. Please either fix your app or get better hotline operators. This is bad.
Reiner Rachmat,1,2021-10-02 08:48:37,It updates almost every week but no improvements at all. The QR scanner in the app is still bugging and sometimes can't be read even though using a regular QR scanner it can be scanned easily. Stop updating if it's no use!
