content,polarity_score,sentiment_label
work intend howev notif turn locat unnecessari app isnt even use your check public space requir scan also one problem find annoy cant pair phone number email account accident regist account email phone number becam separ account hope fix trust dev would improv app overtim,-0.4486,neg
last newest app trace covid indonesia possibl trace pandem within countri least citi unfortun record public place visitor accur exampl show visitor time look insid around includ staff manag app must appli auto checkout user end,0.0,neg
useless unreli lot bug unresolv input correct info id card want continu next step input data ehac data confirm page matter mani time repeat frustrat,-0.34,neg
insist phone root cant use edit month releas new updat still get similar differ error messag invalid signatur loginsignup either email phone number still cant use time mandatori access area indonesia truli frustrat,-0.34,neg
userfriendli moreov elder pleas fix app mandatori realli hard put date birth issu alreadi chose right year month date click date appear happen sever item cannot fix manual need found anoth way copi past date column also otp sometim didnt send directli alreadi expir reciev,-0.1027,neg
inconveni demand user let app alway use locat wont let us use drain lot batteri life yet realli necessari run app background n pretti suck sometim locat app error n reopen app turn turn locat etc jst get locat app work n took lot time hope u fix thank,-0.1779,neg
give error artifici locat wont run phone root ive turn develop option im run app might there problem give us info detect tell us fix advic use differ phone updat tri send screenshot email address ask got error mail sent mail box quota guy need empti email inbox actual tri send exact thing two day ask error,-0.8689,neg
applic often bug im fill date birth applic wont enter date dont think effect date cant enter manual type also fill automat app often bug part that annoy suggest develop fix applic immedi one commun facil need use ,-0.4404,neg
previou rate delet develop googl pleas remov horribl app playstor govern cant make proper app covid contact trace often crash app suck batteri mani trash featur dont add mani featur suppos vaccin contact trace minim app app doesnt network secur mean data expos,-0.6808,neg
app usag mandatori daili activ pleas remov constant locat track permiss frustrat need disabl locat permiss checkin checkout public place devic batteri could drain rapidli know cant fix million data breach ago least chang locat permiss,0.0,neg
still previou version could say chang latest version use android version alway fail registr window verif session receiv via sm receiv via email verif number receiv via email tri input alway fail tri x septemb  time ,-0.7717,neg
problem lie app there inde improv make eas check risk particular area instead around howev true problem lie govern indirectli forc download app unless live without buy groceri,-0.5719,neg
need improv app cant place ident number even tri time set date month year birthbett use dropdownyour set right realli take time find year cant imagin old peopl born press arrow almost x,-0.0572,neg
alreadi input name id number correctli yet app still say put correct id name hell wrong app cant make good app least dont releas work properli cant even go insid mall cant use scanner also full bug doesnt work properli need fix damn app,-0.9101,neg
input data regard view vaccin certif applic goe back way unabl view vaccin certif app also app connect wifi keep load howev happen connect mobil data,0.0,neg
app run fine until somehow app forc close self made scan place work day log place log day week sinc funni cant log place work everyday star error fatal,-0.6597,neg
nd vaccin month ago yet there certif vaccin ive tri call also tri recommend still appear app im truli disappoint issu mean what purpos app certif doesnt appear app pleas fix bug least work team hospit app fix issu bcuz annoy,-0.4767,neg
app fail read qr code restart phone problem remain also tri uninstal reinstal avail log wouldnt show main page app alway bring back login page frustrat experi pl fix problem,-0.836,neg
app power hunger batteri drain app forc use app applic background activ gp track whereev liter forc know last data leak similar app liter cant trust give much permiss app good vaccin passport tc still waiv respons data leak well think need make either app access use app alway,-0.5426,neg
cant complet profil mani time repeat connect complet name regist number doesnt work app said match data think must send email pedulilindung still doesnt got reason solut problem good think program bad execut let clean,-0.0772,neg
dont download app super shadi use websit chrome use incognito mode download vaccin certif app collect locat user content unnecessari search histori exactli identifi also brows histori wth want brows histori data contain ibank email privat person data even screenshot prove app tri access pedulilindung app super su,-0.8553,neg
 high impact phone drain batteri heat phone run slow time gp run background system consum power signal indonesian airport eg balikpapan gororontalo use old ehac app separ app checkin post make confus,0.0,neg
poor app ask unnecessari access photo vid locat messag etc unreli crash lot batteri consum admin fail respond complaint vaccin certif still show unabl complet profil birthday date field unabl fill fail send sm verif multipl time zero star possibl,-0.9325,neg
bug quit often one time applic suddenli went reopen account log go enter place need scan bad,-0.5423,neg
app trash doesnt rememb alreadi author permiss locat camera etc keep act permiss everytim want scan qr code public place open email sm otp stress took lot time want make app mandatori make easier use profession instead annoy peopl use app incompet creat one,-0.3182,neg
cant regist vaccin time submit otp alway give intern server error otp also never receiv phone messag email even though app say otp sent via phone number pleas fix user experi caus realli terribl drop unnecessari function app focu use one caus lot peopl complaint seem dont know focus fix app,-0.6908,neg
tri use samsung note everi time click privaci statement come touch screen goe back start screen one complet circl without abl start program mention problem confirm vaccin usa,-0.4019,neg
app wast time ask type data seem app connect sometim hard type keyboard domin screen seem app readi use dissapont,-0.1027,neg
app slow respond log app click x button close checkin page click checkout restart phone slow respond pleas fix app mandatori use everyth must fast readi dont obstacl,0.0,neg
app updat ive got second vaccin doesnt tell sent email cs never repli almost month call call center doesnt help neither connect machin covid statu sometim green suddenli chang yellow that help travel,-0.5448,neg
app intrus alway want access gp locat drain batteri aswel run background current cant use choos allow access gp app open app permiss also annoy notif turn gp much indonesian app,-0.505,neg
verif process depend registr staff clinichospit got vax ive got vax regist got certif app suddenli anoth name id appear app mayb person wrote number hisher staff input wrong number registr either way cant anyth kind mistak app hotlin said wait person realiz problem make correct,-0.7891,neg
dont know peopl complain app app save live complic littl bit hassl everyth straightforward easi complet annoy bit login email keyboard somehow block fillinbox rest easi think abit complet use app,-0.1255,neg
one worst app ive ever experienc crash time goe haywir locat set relog remov prior action get sort app crucial deliv poor uiux,-0.872,neg
fail regist even tri uninstal instal rd time successful keep ask locat even locat annoy pleas improv applic make mandatori access public area,-0.3818,neg
poor app drain batteri ineffect system input date birth born scroll back time year show ive click time still keep fail input date unknown error keep log incident today cant open cellphon,-0.8519,neg
useless instal work instal cant anyth chang devic work indonesian citizensther option foreign u click mani month noth done improv dnt design u go featur date year birth u manual birth yearso irrit,-0.4215,neg
cant verifi account app send email contain code tri refresh gmail app mani time still email contain digit verif code fix problem actual log app give anoth bug certif show cant open,-0.4019,neg
app bad sinc inconsist difficult chang statu quarantin pcr test done neg result also upload vaccin paper yet still reflect red statu contact peduli protect hotlin menk minist health didnt even singl oper untilnow cant chang statu unabl go public space sinc depend app pleas either fix app get better hotlin oper bad,-0.6124,neg
updat almost everi week improv qr scanner app still bug sometim cant read even though use regular qr scanner scan easili stop updat use,-0.296,neg
second review write develop ask email complain first review includ screenshot problem face use app bothersom email clearli said first review problem app slow enough detect locat need locat correctli scan qr code enter krl station cant read make sure app accommod thousand user use time,-0.8343,neg
cmonpleas improv garbag map system turn turn data otherwis stuck somewher els cant log certain place take min resolv whenev tri use app ,-0.4242,neg
useless solut anyon whatsoev consid breach privaci lil thing damn difficult manag first english second although got verifi abroad vaccin applic still cannot use work noth still cant get around place easili promis ive email respons solut hell guy want us show vaccin card enough,-0.9062,neg
dont know sometim could check import moment annoy huh retri retri allmost got hopeless still annoy everytim use app sorri,-0.8316,neg
alway ask activ gp cant make app use gp use batteri consum alway ask restart devic remov notif even though ive alreadi restart sever time pop notif still annoy,-0.4404,neg
like idea app bad app unstabl antigen test sever day ago show result test day sever time could check place visit said rang though exactli front gate qr code mani peopl experienc problem,-0.5719,neg
app often countless number error like abl scan qr code properli account somehow get lost lot time type email nic number repeatedli overal app slow effici,-0.2263,neg
uninstal applic alway error open cant access locat pleas fix mani peopl use three time instal uninstal alway wont use drain batteri,-0.4019,neg
forc keep gp time app display annoy notif cant swipe app suppos make us conveni travel outsid annoy us respect privaci,-0.4019,neg
know app want go execut bad sometim want check check said session expir log back want log sign user found hell dont care go home without check peac tell app go better,-0.7862,neg
serious qualiti consist app enhanc updat jab appear app result vaccin back red instead green what wrong team smart updat ruin someon life mistak pleas,-0.6705,neg
execut realli bad day week work use day whenev want check say radiu far what use use gp time gp even work ive restartedon gp sever time prob gp applic gp app stuck somewher els cant add button refresh locat like googl map way refresh locat manual,-0.4019,neg
overal disappoint app govern mani error experienc make list easili surpass word error includ error prevent enter birthdat b statist take long time load c vaccin certif wont appear im alreadi vax twice mani error would probabl encount later pleas fix app jaki better job app,-0.8591,neg
v v poor system show wrong passport although keep key correct one anoth page say second vaccin done vaccin certif page say check data also ut cannot captur date birth total loss,-0.8176,neg
there lot problem app slow load home screen date picker birth date fill user profil user friendli recommend user select year month rather select month birth date user must refil applic form user fill nik birth date email pleas fix asap,-0.0516,neg
got option locat privaci set realli choos one alway what point drain batteri harm good mandatori app suck pleas fix,-0.5423,neg
constantli annoy updat slow respons disjoint connect track app ehac app necessari evil pleas fix unless bumn sponsor app excus mediocr product,-0.8074,neg
cant get rid thing notif alway need locat permiss batteri consum dont like app edit seem dont know mean dont want app alway need locat annoy,-0.6407,neg
fail record data time fill birthdat refus fill calendar pop chose birthdat left blank birthdat field kept idea pleas fix bug,-0.5423,neg
